instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
270083,1055,654GS203223DECFUT,654GS2032,0,28/12/2023,0,0.0025,1,FUT,NSECDS,CDS
280835,1097,664GS203523DECFUT,664GS2035,0,28/12/2023,0,0.0025,1,FUT,NSECDS,CDS
847363,3310,664GS203524FEBFUT,664GS2035,0,29/02/2024,0,0.0025,1,FUT,NSECDS,CDS
628995,2457,664GS203524JANFUT,664GS2035,0,25/01/2024,0,0.0025,1,FUT,NSECDS,CDS
292355,1142,664GS203524MARFUT,664GS2035,0,28/03/2024,0,0.0025,1,FUT,NSECDS,CDS
289539,1131,667GS203523DECFUT,667GS2035,0,28/12/2023,0,0.0025,1,FUT,NSECDS,CDS
847619,3311,667GS203524FEBFUT,667GS2035,0,29/02/2024,0,0.0025,1,FUT,NSECDS,CDS
629251,2458,667GS203524JANFUT,667GS2035,0,25/01/2024,0,0.0025,1,FUT,NSECDS,CDS
267267,1044,667GS203524JUNFUT,667GS2035,0,27/06/2024,0,0.0025,1,FUT,NSECDS,CDS
294403,1150,667GS203524MARFUT,667GS2035,0,28/03/2024,0,0.0025,1,FUT,NSECDS,CDS
284419,1111,667GS203524SEPFUT,667GS2035,0,26/09/2024,0,0.0025,1,FUT,NSECDS,CDS
2477059,9676,718GS203323DECFUT,718GS2033,0,28/12/2023,0,0.0025,1,FUT,NSECDS,CDS
848131,3313,718GS203324FEBFUT,718GS2033,0,29/02/2024,0,0.0025,1,FUT,NSECDS,CDS
629507,2459,718GS203324JANFUT,718GS2033,0,25/01/2024,0,0.0025,1,FUT,NSECDS,CDS
2499331,9763,718GS203324JUNFUT,718GS2033,0,27/06/2024,0,0.0025,1,FUT,NSECDS,CDS
2499075,9762,718GS203324MARFUT,718GS2033,0,28/03/2024,0,0.0025,1,FUT,NSECDS,CDS
2503939,9781,718GS203324SEPFUT,718GS2033,0,26/09/2024,0,0.0025,1,FUT,NSECDS,CDS
1758979,6871,718GS203723DECFUT,718GS2037,0,28/12/2023,0,0.0025,1,FUT,NSECDS,CDS
857603,3350,718GS203724FEBFUT,718GS2037,0,29/02/2024,0,0.0025,1,FUT,NSECDS,CDS
1769219,6911,718GS203724JANFUT,718GS2037,0,25/01/2024,0,0.0025,1,FUT,NSECDS,CDS
1770243,6915,718GS203724JUNFUT,718GS2037,0,27/06/2024,0,0.0025,1,FUT,NSECDS,CDS
